エリア,打率,気温(°C)
1,0.75,12.15
0,0.0,12.15
1,0.25,12.15
1,0.3333333333333333,12.15
1,0.25,12.15
1,0.25,12.15
1,0.3333333333333333,12.15
0,0.0,12.15
1,0.0,12.15
1,0.25,12.525
0,0.0,12.525
1,0.0,12.525
1,0.5,12.525
1,0.25,12.525
1,0.5,12.525
1,0.5,12.525
0,0.3333333333333333,12.525
2,0.0,12.525
0,0.0,12.525
1,0.0,12.525
1,0.0,8.725
0,0.0,8.725
1,0.0,8.725
1,0.0,8.725
1,0.0,8.725
1,0.0,8.725
1,0.3333333333333333,8.725
0,0.3333333333333333,8.725
1,0.0,8.725
1,0.0,8.725
1,0.2,22.3
0,0.2,22.3
1,0.5,22.3
1,0.25,22.3
1,0.0,22.3
2,0.0,22.3
1,0.3333333333333333,22.3
0,0.3333333333333333,22.3
1,0.0,22.3
1,1.0,22.3
1,0.0,26.0
0,0.25,26.0
1,0.0,26.0
1,0.0,26.0
1,0.25,26.0
2,0.3333333333333333,26.0
0,0.0,26.0
1,0.0,26.0
0,0.3333333333333333,26.0
1,0.0,26.0
1,0.25,24.125
0,0.6,24.125
1,0.6,24.125
1,0.2,24.125
1,0.0,24.125
2,0.0,24.125
0,1.0,24.125
1,0.25,24.125
0,0.0,24.125
1,0.0,24.125
1,0.0,24.125
1,0.0,24.125
1,0.6666666666666666,32.025
0,0.0,32.025
1,0.5,32.025
1,0.4,32.025
1,0.5,32.025
1,0.25,32.025
0,0.25,32.025
1,0.0,32.025
1,0.0,32.025
0,0.0,32.025
1,1.0,32.025
1,0.8,28.9
0,0.25,28.9
1,0.25,28.9
1,0.4,28.9
1,0.2,28.9
1,0.3333333333333333,28.9
1,0.5,28.9
0,0.0,28.9
1,0.5,28.9
1,0.0,28.9
1,0.5,32.4
0,0.2,32.4
1,0.2,32.4
1,0.5,32.4
1,0.0,32.4
1,0.3333333333333333,32.4
0,0.0,32.4
1,1.0,32.4
1,0.0,32.4
1,0.3333333333333333,32.4
1,0.5,32.4
2,0.0,32.4
1,0.25,27.1
0,0.0,27.1
1,0.25,27.1
1,0.5,27.1
1,0.0,27.1
0,0.0,27.1
1,0.3333333333333333,27.1
1,0.0,27.1
1,0.0,27.1
1,0.0,27.1
1,1.0,27.1
0,0.5,27.1
1,0.3333333333333333,30.833333333333332
0,0.0,30.833333333333332
1,0.0,30.833333333333332
1,0.0,30.833333333333332
1,0.0,30.833333333333332
0,0.0,30.833333333333332
1,0.25,30.833333333333332
1,0.0,30.833333333333332
1,0.0,30.833333333333332
1,0.4,26.725
0,0.0,26.725
1,1.0,26.725
1,0.3333333333333333,26.725
1,1.0,26.725
0,0.2,26.725
1,0.6666666666666666,26.725
0,0.0,26.725
1,0.0,26.725
1,0.0,26.725
1,0.0,26.725
0,0.0,26.725
1,0.0,26.725
1,0.0,26.725
1,0.25,25.975
0,0.5,25.975
1,0.4,25.975
1,0.5,25.975
0,0.4,25.975
2,0.6666666666666666,25.975
0,1.0,25.975
1,0.6666666666666666,25.975
1,0.0,25.975
1,0.0,25.975
1,0.0,25.975
1,0.0,25.975
1,0.0,25.975
0,0.5,25.975
